跟进助理	备注	项目名	负责人	职称	依托单位	经费▼	起始时间	领域	电话	邮箱	
		玉米种子内生细菌多样性及其与宿主基因型和抗病性的相关性研究	赵久然	研究员	北京市农林科学院	20	2018				
		刺萼龙葵根系分泌物对根际土壤微生物群落的影响	黄红娟	副研	中国农业科学院植物保护研究所	20	2018				
		血根碱对锦鲤肠道形态、内容物、菌群结构和基因表达的影响	张蓉	研究实习员	北京市农林科学院	10	2018				
		高糖诱导肠道微生态改变对血管的影响及益气活血中药的干预作用	雷燕	研究员	中国中医科学院医学实验中心	20	2018				
		粪菌移植通过改变肠道菌群治疗肠道急性移植物抗宿主病的免疫调控机制研究	闵敏	主治医师	中国人民解放军军事科学院军事医学研究院	20	2018				
		基于液相色谱串联质谱技术的酒精摄入生物学标志物磷脂酰乙醇类物质的测定及应用研究	王思明	助研	北京医院	20	2018				
		补脾调中法改善化疗后肠道微生态及基于Treg/Th17调节肠粘膜免疫的机制研究	窦永起	主任医师	中国人民解放军总医院	20	2018				
		胃食管反流病患者质子泵抑制剂治疗8周前后食管下段黏膜菌群结构变化与治疗效果的自身对照研究	张杰		北京市心肺血管疾病研究所	自主创新	2018				
		中西医结合调理肠道菌群对脑卒中的影响及机制探讨	赵莹莹		首都医科大学附属北京友谊医院	青年优才	2018				
		季节性低氧对长江口外关键功能菌群的影响	叶祁		华东师范大学		2018				
		阴道微生物组调控绝经后妇女萎缩性阴道炎发病及其机制的研究	沈健		上海交通大学医学院附属瑞金医院		2018				
		基于代谢组学技术研究ACSL在运动干预治疗2型糖尿病中 的作用	王霜原		上海市内分泌代谢病研究所		2018				
		探索胆汁淤积症的病理机制及基因治疗方法	魏玉		中国科学院上海巴斯德研究所		2018				
		参葛方联合营养饮食控制治疗非酒精性脂肪性肝炎临床疗效评价	周振华		上海中医药大学附属曙光医院	10	2018				
		基于代谢组学的耐药结核患者化疗新方案的疗效评估指标体系建立和临床初步验证	陈颖盈		上海市免疫学研究所	10	2018				
		慢阻肺急性加重患者下呼吸道微生物组调控肺泡巨噬细胞NF-κB与PPARγ转录失衡导致肺功能下降的分子机制研究	夏敬文		复旦大学附属华山医院	10	2018				
		中药高位结肠透析治疗慢性肾脏病4-5期湿浊证的临床观察及对肠道菌群的影响	林钐		上海中医药大学附属龙华医院	10	2018				
		黄秋葵对糖尿病前期患者糖脂代谢组学影响及机制研究	陈琳		上海市普陀区中心医院	10	2018				
		植物乳杆菌通过脑-肠轴对卒中后抑郁小鼠的治疗作用及机制研究	王施		中国人民解放军第411医院	10	2018				
		口源性口臭与女性不孕关系的队列研究及其微生物学机制	张皓		上海市口腔病防治院	10	2018				
		应用代谢组学方法建立先天性垂体功能减退症的早期筛查模型	方旭前		上海交通大学医学院附属瑞金医院北院	10	2018				
		针灸干预PD的肠道菌群介导的氧化应激机制研究	陈奕奕		上海市针灸经络研究所	5	2018				
		基于“疏肝解郁”的胆汁酸水平紊乱与抑郁发病的相关性研究	黄菲		上海中医药大学	5	2018				
		肠道微生态干预“肠-肾”轴调控IgA肾病Gd-IgA1的表达及机制研究	唐余燕		上海市闵行区中心医院	5	2018				
		高通量测序技术分析早产儿早期肠道菌群构成及其对生长发育的影响	高彩霞		上海市免疫学研究所	5	2018				
		伴2型糖尿病牙周炎患者龈下菌斑的组成特点及对其治疗的影响研究	胡琮佼		同济大学附属口腔医院	5	2018				
		肠道菌群与老年2型糖尿病患者服用二甲双胍所致胃肠道不良反应的研究	黄宇新		华东医院	5	2018				
		慢性牙周炎龈下菌群及细胞因子相关性研究  	徐红珍		上海市口腔病防治院	5	2018				
		人工湿地酸性药物降解及微生物响应机制	张晓萌		暨南大学	10	2018				
		海蒿子多糖的降血糖活性机理、构效关系及其对肠道菌群影响	李超		华南理工大学	10	2018				
		髙盐饮食通过肠道菌群结构与代谢功能的改变诱发高血压脑卒中的机制研究	刘亭		广州医科大学	10	2018				
		5-羟色胺信号通路在桔小实蝇肠道抵抗病原细菌中的功能研究	齐易香		华南农业大学	10	2018				
		Hox基因在B烟粉虱共生菌发育中的功能研究	潘慧鹏		华南农业大学	10	2018				
		Rac1在罗伊氏乳杆菌调控仔猪肠道物理屏障中的作用及机制	易宏波		广东省农业科学院动物科学研究所	10	2018				
		基于肠道菌群影响因素探索均衡摄入天然素食全营养餐逆转糖尿病人血糖机制	李彩虹		广东医科大学	10	2018				
		虫草蝠蛾肠道细菌解毒珠芽蓼的分子机制研究	刘桂清		广东省生物资源应用研究所	10	2018				
		海洋近岸典型生境亚硝酸氧化菌的多样性、分布特征和生态功能研究	董宏坡		广东海洋大学	10	2018				
		鸡枞菌菌圃微生物的群落结构解析及协同机制研究	徐学锋		华南农业大学	10	2018				
		香蕉抗性淀粉对肠道微生态环境的影响研究	王娟		华南理工大学	10	2018				
		粤式水产调味基料风味品质形成机理和调控机制研究	江津津		广州城市职业学院	10	2018				
		蚯蚓强化土壤四环素生物降解的功能微生物研究	蔺中		广东海洋大学	10	2018				
		华南红壤稻田Fe(III)还原驱动厌氧甲烷氧化的微生物机制研究	汤佳		广东省生态环境技术研究所	10	2018				
		农田土壤中邻苯二甲酸酯降解功能微生物研究	宋孟珂		华南农业大学	10	2018				
		深海微生物水解酶拆分制备手性1-苯基乙醇研究	胡云峰		中国科学院南海海洋研究所	10	2018				
		肠道微生物解砷毒机制的研究	郭莲仙		广东医科大学	10	2018				
		人体肠道微生物对黄酮类天然产物柚皮苷、槲皮素代谢影响的研究	姚宏亮		中山大学	10	2018				
		基于交互网络分析的养殖废水处理中微藻-益生菌联动机理研究	刘晖		仲恺农业工程学院	10	2018				
		动物肠道综合臭气减排益生菌作用机理研究	汪善全		中山大学	100	2018				
		肠道菌群介导抗性淀粉对非酒精性脂肪肝的干预作用及其机制研究	曹创裕		广州市第一人民医院		2018				
		糖尿病酮症酸中毒患者双歧杆菌菌群紊乱与血胰高血糖样多肽的关系研究	周毅业		广州市中医医院		2018				
		基于多组学方法研究肠道微生态与婴幼儿牛奶蛋白过敏的关联及其应用	韦茹		广州市妇女儿童医疗中心		2018				
		HIV母婴阻断新生儿喂养不耐受的肠道菌群特征研究	朱炜春		广州市第八人民医院		2018				
		儿童哮喘发生过程中肺肠菌群变化及其介导的Treg/Th17免疫调控制研究	唐骏		广州市荔湾区妇幼保健院		2018				
		中性人乳寡糖对肠道菌群影响的机制研究	王帅		天津科技大学天津市食品营养与安全重点实验室	6	2018				
		多环芳烃菲高效降解人工混菌体系的构建及优化研究	贾晓强		天津大学天津市生物与制药工程重点实验室	10	2018				
		中药青赤散通过调节肠道菌群治疗溃疡性结肠炎的作用机制研究	周正华		天津中医药大学第一附属医院	10	2018				
		肠道菌群介导的芪贞汤影响TAMs/NF-κB信号通路治疗结肠炎相关癌症的基础研究	杨荣存		天津中医药大学中医学院	20	2018				
		肠道微生态对肠REG相关免疫细胞表观遗传修饰的调控	孟静岩		南开大学医学院	20	2018				
		通过头发代谢组学探讨环境及饮食暴露与妊娠并发症的相关性	韩顶立		重庆医科大学附属第一医院	重点项目	2018				
		抑郁症致病肠道微生物菌株及其代谢产物的诊断试剂盒研发与推广	郑鹏		重庆医科大学附属第一医院	面上项目	2018				
		益生菌联合益生元预防宫颈癌急性放射性肠炎的临床研究	饶辉		重庆三峡中心医院	面上项目	2018				
		益生菌对非酒精性脂肪肝病患者肠道菌群构成及功能影响的临床研究	刘建平		长寿区人民医院	面上项目	2018				
		菌群L1降解除草剂精喹禾灵的分子机理研究	张辉		淮北师范大学		2018				
		基于非靶向代谢组学探讨裂木脂素 Peperomins E 对前列腺癌裸鼠移植瘤模型代谢的干预	李云志		安徽中医药大学		2018				
		肝癌经导管动脉栓塞术后肠道微生态改变对疗效的影响及相关机制研究	吕维富		安徽省立医院		2018				
		小补心汤总黄酮调节肠道菌群发挥抗抑郁作用的机制研究	邓云		安徽理工大学		2018				
		基于NLRP3炎症小体探讨白头翁汤正丁醇提取物治疗肠道白念珠菌异常定植下溃疡性结肠炎的作用机制	徐志庆		安徽中医药大学		2018				
		生物固氮和氮沉降作用下喀斯特人工草地生态系统有机碳动态	肖峻		中国科学院亚热带农业生态研究所	青年科学基金项目	2018				
		基于脑肠轴的肝郁脾虚型抑郁症组胺、组胺受体变化及逍遥散作用机理	李晓红		广西中医药大学	面上项目	2018				
		肠道菌群介导母鼠高脂膳食影响子鼠胰岛功能的机制研究	袁慧娟		郑州大学	10	2018				
		基于蛋白质组学与代谢组学的麦胚球蛋白家族免疫调节机理研究	黄继红		河南工业大学	10	2018				
		肉鸡胃肠道微生物区系和肠粘膜屏障对黄曲霉毒素和玉米赤霉烯酮吸收和代谢的作用机制	尹清强		河南农业大学	10	2018				
		玉米叶际微生物群落对玉米大斑病菌侵染的响应机制	田雪亮		河南科技学院	10	2018				
		野大豆根瘤内生细菌种群多样性及对大豆耐盐性促生机理研究	赵龙飞		商丘师范学院	10	2018				
		基于宏基因组和宏转录组学研究褐土脲酶群落构成与抑制效应分析	胡利伟		中国烟草总公司郑州烟草研究院	10	2018				
		动物肠道免疫调节的分子机制及先天性免疫通路IMD的新功能	翟宗昭		湖南师范大学	杰出青年基金	2018				
		从“脑-肠-菌”轴探讨针灸对肠易激综合征大鼠肠黏膜屏障的调节机制	刘密		湖南中医药大学	面上项目	2018				
		基于“心-肠-微生态”轴的养心通脉方治疗冠心病血瘀证作用机制研究	陈伶利		湖南中医药大学	面上项目	2018				
		高盐稀态酱油酿造微生物菌群分析及优势菌群构建	蒋雪薇		长沙理工大学	面上项目	2018				
		大肠杆菌肠毒素致断奶仔猪分泌性腹泻的分子机理研究	黄鹏飞		湖南师范大学	青年基金	2018				
		肠道菌群与雄鼠高复合饮食引起的子二代肾功能损害的关联研究	李健		湖南师范大学	青年基金	2018				
		2型糖尿病“虚、毒、瘀”病机与肠道菌群-炎性反应-胰岛素抵抗发病途径的相关性及左归复方干预机制的研究	向琴		湖南中医药大学	青年基金	2018				
		基于“脑-肠-菌”轴通过5-HT系统研究类风湿关节炎并发抑郁症海马神经元损伤机制及中药干预	廖亮英		湖南中医药大学第一附属医院	青年基金	2018				
		能源基质对铁硫氧化细菌菌群浸铀行为的引导作用机制研究	李乾		南华大学	青年基金	2018				
		人胃肠仿生消化对花生肽亚铁生物活性的影响及抑菌机理研究	肖怀秋		湖南化工职业技术学院	科教联合	2018				
		臭氧外用对中重度特应性皮炎患者皮损微生态和屏障功能的干预作用	鲁建云		中南大学湘雅三医院	科卫联合	2018				
		达托霉素治疗革兰氏阳性菌脓毒症的免疫调节作用及机制研究	欧好		中南大学湘雅三医院	科卫联合	2018				
		肠道微生态改变改善糖尿病小鼠生存状态的机制初探	郭勤		中南大学湘雅三医院	科卫联合	2018				
		基于多平台代谢组学技术的非小细胞肺癌代谢紊乱机制研究	周洋		大连医科大学	自然科学基金医疗健康联合基金	2018				
